iter	Passed	Remaining
676	1353	645
677	1355	643
678	1357	641
679	1358	639
680	1360	637
681	1362	635
682	1364	633
683	1365	630
684	1367	628
685	1369	626
686	1371	624
687	1372	622
688	1374	620
689	1376	618
690	1378	616
691	1379	614
692	1381	612
693	1383	609
694	1384	607
695	1386	605
696	1388	603
697	1389	601
698	1391	599
699	1393	597
700	1394	594
701	1396	592
702	1398	590
703	1400	588
704	1401	586
705	1403	584
706	1405	582
707	1406	580
708	1408	578
709	1410	575
710	1411	573
711	1413	571
712	1414	569
713	1417	567
714	1418	565
715	1420	563
716	1422	561
717	1424	559
718	1425	557
719	1427	555
720	1429	553
721	1431	551
722	1433	549
723	1434	546
724	1436	544
725	1438	542
726	1440	540
727	1441	538
728	1443	536
729	1445	534
730	1446	532
731	1448	530
732	1450	528
733	1451	526
734	1453	524
735	1455	522
736	1457	520
737	1459	518
738	1460	515
739	1462	513
740	1464	511
741	1465	509
742	1467	507
743	1469	505
744	1471	503
745	1472	501
746	1474	499
747	1476	497
748	1478	495
749	1479	493
750	1481	491
751	1483	489
752	1485	487
753	1486	485
754	1488	482
755	1489	480
756	1491	478
757	1493	476
758	1495	474
759	1496	472
760	1498	470
761	1500	468
762	1501	466
763	1503	464
764	1505	462
765	1506	460
766	1508	458
767	1510	456
768	1512	454
769	1513	452
770	1515	450
771	1517	448
772	1518	446
773	1520	443
774	1522	441
775	1523	439
776	1525	437
777	1527	435
778	1528	433
779	1530	431
780	1532	429
781	1533	427
782	1535	425
783	1537	423
784	1538	421
785	1540	419
786	1542	417
787	1543	415
788	1545	413
789	1547	411
790	1548	409
791	1550	407
792	1552	405
793	1553	403
794	1555	401
795	1557	399
796	1559	397
797	1560	395
798	1562	393
799	1563	390
800	1565	389
801	1567	386
802	1569	384
803	1570	382
804	1572	380
805	1574	378
806	1575	376
807	1577	374
808	1579	372
809	1580	370
810	1582	368
811	1584	366
812	1585	364
813	1587	362
814	1589	360
815	1590	358
816	1592	356
817	1594	354
818	1596	352
819	1598	350
820	1599	348
821	1601	346
822	1603	344
823	1605	342
824	1606	340
825	1608	338
826	1610	336
827	1612	334
828	1613	332
829	1615	330
830	1617	328
831	1619	326
832	1620	324
833	1622	322
834	1624	320
835	1625	318
836	1627	316
837	1629	314
838	1630	312
839	1632	310
840	1634	308
841	1635	306
842	1637	305
843	1639	303
844	1641	301
845	1642	299
846	1644	297
847	1646	295
848	1647	293
849	1649	291
850	1651	289
851	1652	287
852	1654	285
853	1656	283
854	1657	281
855	1659	279
856	1661	277
857	1663	275
858	1664	273
859	1666	271
860	1668	269
861	1669	267
862	1671	265
863	1673	263
864	1675	261
865	1677	259
866	1679	257
867	1680	255
868	1682	253
869	1684	251
870	1685	249
871	1687	247
872	1689	245
873	1690	243
874	1692	241
875	1694	239
876	1696	237
877	1697	235
878	1699	233
879	1701	231
880	1702	229
881	1704	228
882	1706	226
883	1707	224
884	1709	222
885	1711	220
886	1712	218
887	1714	216
888	1716	214
889	1717	212
890	1719	210
891	1721	208
892	1722	206
893	1724	204
894	1726	202
895	1728	200
896	1729	198
897	1731	196
898	1733	194
899	1734	192
900	1736	190
901	1738	188
902	1739	186
903	1741	184
904	1743	182
905	1744	181
906	1746	179
907	1748	177
908	1749	175
909	1751	173
910	1753	171
911	1754	169
912	1756	167
913	1758	165
914	1759	163
915	1761	161
916	1763	159
917	1764	157
918	1766	155
919	1768	153
920	1770	151
921	1771	149
922	1773	147
923	1775	145
924	1776	144
925	1778	142
926	1780	140
927	1781	138
928	1783	136
929	1785	134
930	1786	132
931	1788	130
932	1790	128
933	1791	126
934	1793	124
935	1795	122
936	1796	120
937	1798	118
938	1800	116
939	1801	115
940	1803	113
941	1805	111
942	1806	109
943	1808	107
944	1810	105
945	1811	103
946	1813	101
947	1815	99
948	1816	97
949	1818	95
950	1820	93
951	1821	91
952	1823	89
953	1825	88
954	1827	86
955	1828	84
956	1830	82
957	1831	80
958	1833	78
959	1835	76
960	1836	74
961	1838	72
962	1840	70
963	1841	68
964	1843	66
965	1845	64
966	1847	63
967	1848	61
968	1850	59
969	1851	57
970	1853	55
971	1855	53
972	1857	51
973	1858	49
974	1895	48
975	1897	46
976	1899	44
977	1909	42
978	1910	40
979	1912	39
980	1914	37
981	1916	35
982	1917	33
983	1919	31
984	1921	29
985	1922	27
986	1924	25
987	1926	23
988	1928	21
989	1929	19
990	1931	17
991	1933	15
992	1935	13
993	1936	11
994	1938	9
995	1940	7
996	1941	5
997	1943	3
998	1945	1
999	1947	0
